상품명,가격,카테고리,중량,칼로리,단백질,지방,탄수화물,나트륨,행사 정보,편의점 코드,이미지 주소
사골시래기된장국,"5,900",즉석요리,450,105,9,3.7,9,2040,2+1,4,https://www.emart24.co.kr/image/NDUzNTE=
달콤한강냉이스낵,"1,700",과자,70,320,4,6,58,80,2+1,4,https://www.emart24.co.kr/image/NDUyOTU=
티포에그쿠키,"2,500",과자,90,465,8.1,22.5,57.6,258.3,2+1,4,https://www.emart24.co.kr/image/NDUyNzI=
감자크래커,"1,500",과자,400,175,2,9.3,20.5,115,2+1,4,https://www.emart24.co.kr/image/NDUyOTk=
양파크래커,"1,500",과자,400,185,2.4,11.56,18,106.6,2+1,4,https://www.emart24.co.kr/image/NDUyOTc=
쥬페르치즈크래커,"1,800",과자,138,695,9.6,34.8,86.4,684.6,2+1,4,https://www.emart24.co.kr/image/NDUyNzQ=
말키스트카푸치노크래커,"1,800",과자,115,63,1,3,8,53,2+1,4,https://www.emart24.co.kr/image/NDUyNzA=
치즈샌드위치,"2,600",식품,60,276,7,17,4,230,2+1,4,https://www.emart24.co.kr/image/NDUyNzE=
에이스,"1,700",과자,436,130,2,7,15,120,2+1,4,https://www.emart24.co.kr/image/NDUyMzc=
후렌치파이딸기,"4,200",과자,192,130,1,6,16,60,2+1,4,https://www.emart24.co.kr/image/NDUyMzU=
오예스미니,"3,600",과자,192,145,2,8,16,95,2+1,4,https://www.emart24.co.kr/image/NDUyMzQ=
맛동산,"3,200",과자,85,430,7,21,53,55,2+1,4,https://www.emart24.co.kr/image/NDUyMzM=
치즈샌드,"2,200",과자,60,302,4,14,40,330,2+1,4,https://www.emart24.co.kr/image/NDUyMjg=
민트초코,"2,000",아이스크림,750,182,3,8,25,55,2+1,4,https://www.emart24.co.kr/image/NDUyMjc=
꼬깔콘고소한맛,"3,400",과자,72,410,4,25,43,350,2+1,4,https://www.emart24.co.kr/image/NDUyNTk=
꼬깔콘군옥수수맛,"3,400",과자,72,410,4,25,42,310,2+1,4,https://www.emart24.co.kr/image/NDUyNjA=
꼬깔콘매콤달콤한맛,"3,400",과자,72,410,4,25,42,420,2+1,4,https://www.emart24.co.kr/image/NDUyNjE=
도리토스갈비천왕치킨맛,"1,700",과자,84,435,6,21,55,430,2+1,4,https://www.emart24.co.kr/image/NDUyNjU=
치토스매콤달콤한맛,"3,400",과자,82,475,6,28,50,310,2+1,4,https://www.emart24.co.kr/image/NDUyNjQ=
크런키더블크런치바,"1,000",과자,500,105,2,6,11,20,2+1,4,https://www.emart24.co.kr/image/NDUxODg=
빈츠카페모카,"2,800",과자,102,45,0.7,2.3,5,15,2+1,4,https://www.emart24.co.kr/image/NDUyNTY=
버터와플,"3,000",과자,180,160,1.7,8,20,90,2+1,4,https://www.emart24.co.kr/image/NDUyNDU=
데니쉬버터쿠키,"2,500",과자,454,509,6,25,65,115,2+1,4,https://www.emart24.co.kr/image/NDUyNTM=
ABC초코쿠키,"1,200",과자,50,265,3.45,15,30,95,2+1,4,https://www.emart24.co.kr/image/NDUxODQ=
투유우유초콜릿,"1,500",과자,60,341,5,21,33,40,2+1,4,https://www.emart24.co.kr/image/NDUxNzE=
화이트엔젤큐티,"1,500",과자,27,165,2,11,14,20,2+1,4,https://www.emart24.co.kr/image/NDUxMTc=
