상품명,카테고리,가격,행사 정보,중량,칼로리,탄수화물,단백질,지방,나트륨,편의점 코드,이미지 주소
불고기왕꼬치,식품,"2,400
",,100,210,13,13,12,850,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801052043425.jpg
소고기샤브샤브,즉석요리,"14,900
",,895,960,92,51,46,6503,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809558840333.jpg
미정당생칼국수,즉석요리,"3,500
",,400,1110,246,25,2.4,2920,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007718903.jpg
선지해장국,즉석요리,"7,800
",1+1,600,160,15,20,2.3,1700,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801045533346.jpg
서울식불고기전골,즉석요리,"12,900
",,444.5,734,64,34,38,1575,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809558840272.jpg
알뜰소시지,식품,"1,800
",,500,220,17,4.5,15,670,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801123206834.jpg
샤인머스켓,음료,"5,900
",,230,120,30,0,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/2202000014072.jpg
라면사리,즉석요리,"500
",,100,455,66,12,16,390,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801045522012.jpg
짜장불닭볶음면,즉석요리,"1,700
",,140,560,84,13,19,1420,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801073115620.jpg
매콤깻잎순대볶음,즉석요리,"11,900
",,627,834,124,44,18,3221,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809558842207.jpg
비비고삼계탕,식품,"14,800
",2+1,800,705,70,37,23,1030,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007526478.jpg
차돌박이숙주볶음,즉석요리,"12,900
",,421,729,5,22,69,990,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809558840067.jpg
소고기찹스테이크,즉석요리,"16,900
",,527,653,21,50,41,1773,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809558840005.jpg
피에스타스테이크,즉석요리,"11,900
",,332,369,15,39,17,665,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809558841088.jpg
감바스알아히요,즉석요리,"12,900
",,420,1295,62,30,103,1890,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809558840081.jpg
그릴닭가슴살,식품,"4,500
",,980,120,4,18,1.1,560,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801047574002.jpg
큰컵짜장불닭볶음면,즉석요리,"1,800
",,105,425,63,10,15,1000,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801073212756.jpg
물엿,식품,"3,500
",,1200,304,0,0,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801045611211.jpg
허니머스타드,식품,"3,500
",,265,265,0,0,0,650,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801045176338.jpg
딸기쨈,식품,"6,000
",,454,260,64,0.4,0.3,65,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801045331126.jpg
