상품명,가격,행사 정보,이미지 주소
안주야직화불막창160G,"9,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801052043845_001.jpg
딸기잼소보로찹쌀떡(40G*2),"3,200",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809448350478_002.jpg
김치피자탕수육240G,"8,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809229151164_001.jpg
ㅋㅋ만두385G,"4,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809123251625_003.jpg
그린티250ML,"5,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801008700358_002.jpg
쿨민트250ML,"5,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801008700105_107.jpg
쿨민트마일드250ML,"5,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801008003848_003.jpg
바이오유산균요거민트125G,"3,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801046371794_001.jpg
2080하이브리드칫솔,"3,500",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801046273982_001.jpg
2080진지발리스K치약120G,"3,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801046996799_803.jpg
덴탈크리닉2080치약125G,"4,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801046846087_090.jpg
덴탈크리닉2080치솔,"2,800",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801046057216_001.jpg
초극세모잇몸선케어,"2,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902430597289_002.jpg
플렉스볼파워면도기,"31,700",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_7702018358663_002.jpg
페이스식스일회용면도기,"2,500",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801038572291_001.jpg
콘돔3P무꼭지형,"5,700",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8832550072211_003.jpg
콘돔일반형,"4,300",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8802550012265_004.jpg
익스트림에어핏(3입),"5,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809449730477_004.jpg
