상품명,가격,행사 정보,이미지 주소,편의점 코드
따옴바딸기75ML,"2,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104673464_001.jpg,1
따옴바파인애플75ML,"2,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104675628_001.jpg,1
따옴바패션프루트75ML,"2,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104673501_001.jpg,1
초코쉐이크160ML,"3,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809609520313_001.jpg,1
인절미빙수280ML,"3,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8805584224710_001.jpg,1
프리미엄팥빙수280ML,"3,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8805584224703_001.jpg,1
팥칼빙수240ML,"3,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809490180825_003.jpg,1
서울우유딸기파르페,"3,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801115720324_001.jpg,1
딸기빙수,"3,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8805584224734_001.jpg,1
망고쏙파르페빙수330ML,"3,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809490180931_002.jpg,1
더블팅130ML,"1,800",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8805584125130_132.jpg,1
녹차초코바90ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809490180634_001.jpg,1
딸기초코바90ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809490180658_001.jpg,1
초코바,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809490180108_001.jpg,1
쿠키앤크림바,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809490180016_001.jpg,1
토피넛초코바,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809490180054_001.jpg,1
바카바카140ML,"2,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8805584224642_001.jpg,1
이정도는약과지140ML,"2,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8805584224659_001.jpg,1
밀크쉐이크160ML,"3,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809609520290_001.jpg,1
